size_bytes,operation,connections,product,qps,p99_ms,source
32768,GET,320,Redis,90976.5,17.023,redis
32768,GET,320,Valkey,90879.27,9.535,valkey
32768,GET,640,Lavik,90365.15,12.415,lavik-parallel
32768,GET,640,Lavik serial,90329.03,12.735,lavik-serial
32768,GET,640,Redis,90391.49,17.919,redis
32768,GET,640,Valkey,90409.15,15.551,valkey
32768,GET,1280,Lavik,89850.36,29.695,lavik-parallel
32768,GET,1280,Lavik serial,89851.38,29.183,lavik-serial
32768,GET,1280,Redis,89907.69,28.799,redis
32768,GET,1280,Valkey,89773.29,27.775,valkey
32768,SET,80,Lavik,10964.63,217.087,lavik-parallel
32768,SET,80,Lavik serial,10878.68,264.191,lavik-serial
32768,SET,80,Redis,93420.2,1.431,redis
32768,SET,80,Valkey,93148.27,1.495,valkey
32768,SET,320,Lavik,9034.84,733.183,lavik-parallel
32768,SET,320,Lavik serial,9439.84,643.071,lavik-serial
32768,SET,320,Redis,93427.89,5.631,redis
32768,SET,320,Valkey,93467.53,5.823,valkey
32768,SET,640,Lavik,7408.62,1826.815,lavik-parallel
32768,SET,640,Lavik serial,7907.02,1679.359,lavik-serial
32768,SET,640,Redis,93512.98,9.023,redis
32768,SET,640,Valkey,93640.6,9.151,valkey
32768,SET,1280,Lavik,7028.44,3620.863,lavik-parallel
32768,SET,1280,Lavik serial,7254.04,3211.263,lavik-serial
32768,SET,1280,Redis,93652.95,18.175,redis
32768,SET,1280,Valkey,93609.78,19.327,valkey
131072,GET,80,Lavik,22803.66,9.279,lavik-parallel
131072,GET,80,Lavik serial,22774.47,7.295,lavik-serial
131072,GET,80,Redis,22794.03,9.407,redis
131072,GET,80,Valkey,22785.71,8.511,valkey-verified128
131072,GET,320,Lavik,22646.88,36.351,lavik-parallel
131072,GET,320,Lavik serial,22624.95,30.207,lavik-serial
131072,GET,320,Redis,22630.44,31.487,redis
131072,GET,320,Valkey,22360.19,30.847,valkey-verified128
131072,GET,640,Lavik,22585.71,71.679,lavik-parallel
131072,GET,640,Lavik serial,22559.61,71.167,lavik-serial
131072,GET,640,Redis,22581.18,70.655,redis
131072,GET,640,Valkey,22567.72,70.655,valkey-verified128
131072,GET,1280,Lavik,22415.37,242.687,lavik-parallel
131072,GET,1280,Lavik serial,19614.06,724.991,lavik-serial
131072,GET,1280,Redis,22438.8,240.639,redis
131072,GET,1280,Valkey,22451.86,249.855,valkey-verified128
131072,GET,2560,Lavik,22132.8,323.583,lavik-high
131072,GET,5120,Lavik,21957.71,884.735,lavik-high
131072,SET,80,Lavik,9202.39,236.543,lavik-parallel
131072,SET,80,Lavik serial,6630.71,321.535,lavik-serial
131072,SET,80,Redis,23402.01,7.615,redis
131072,SET,80,Valkey,23338.39,6.623,valkey-verified128
131072,SET,320,Lavik,7135.21,823.295,lavik-parallel
131072,SET,320,Lavik serial,7350.73,823.295,lavik-serial
131072,SET,320,Redis,23410.38,20.863,redis
131072,SET,320,Valkey,23387.95,19.455,valkey-verified128
131072,SET,640,Lavik,7190.84,1417.215,lavik-parallel
131072,SET,640,Lavik serial,7333.83,1392.639,lavik-serial
131072,SET,640,Redis,23415.83,34.047,redis
131072,SET,640,Valkey,23409.73,33.791,valkey-verified128
131072,SET,1280,Lavik,6653.45,3686.399,lavik-parallel
131072,SET,1280,Lavik serial,6750.44,3538.943,lavik-serial
131072,SET,1280,Redis,23443.5,67.583,redis
131072,SET,1280,Valkey,23391.98,71.679,valkey-verified128
131072,SET,2560,Lavik,7004.41,4390.911,lavik-high
131072,SET,5120,Lavik,6311.3,8290.303,lavik-high
1048576,GET,80,Lavik,2840.85,58.367,lavik-final1m-20260926
1048576,GET,80,Redis,2841.06,70.143,redis-1m-20260926
1048576,GET,80,Valkey,2840.37,70.143,valkey-1m-20260926
1048576,GET,320,Lavik,2821.52,223.231,lavik-final1m-20260926
1048576,GET,320,Redis,2817.38,230.399,redis-1m-20260926
1048576,GET,320,Valkey,2819.72,231.423,valkey-1m-20260926
1048576,GET,640,Lavik,2819.37,409.599,lavik-final1m-20260926
1048576,GET,640,Redis,2792.41,442.367,redis-1m-20260926
1048576,GET,640,Valkey,2801.34,438.271,valkey-1m-20260926
1048576,GET,1280,Lavik,2780.83,835.583,lavik-final1m-20260926
1048576,GET,1280,Redis,2749.67,888.831,redis-1m-20260926
1048576,GET,1280,Valkey,2752.62,954.367,valkey-1m-20260926
1048576,GET,2560,Lavik,2815.3,2424.831,lavik-final1m-20260926
1048576,GET,2560,Redis,2724.91,1835.007,redis-1m-20260926
1048576,GET,2560,Valkey,2682.22,1777.663,valkey-1m-20260926
1048576,SET,80,Lavik,839.25,268.287,lavik-final1m-20260926
1048576,SET,80,Lavik before cleaner,358.93,606.207,lavik-baseline1m-20260926
1048576,SET,80,Redis,2927.56,45.311,redis-1m-20260926
1048576,SET,80,Valkey,2926.52,74.239,valkey-1m-20260926
1048576,SET,320,Lavik,842.44,2932.735,lavik-final1m-20260926
1048576,SET,320,Lavik before cleaner,356.4,5963.775,lavik-baseline1m-20260926
1048576,SET,320,Redis,2929.0,176.127,redis-1m-20260926
1048576,SET,320,Valkey,2926.55,142.335,valkey-1m-20260926
1048576,SET,640,Lavik,825.69,5570.559,lavik-final1m-20260926
1048576,SET,640,Lavik before cleaner,361.28,11534.335,lavik-baseline1m-20260926
1048576,SET,640,Redis,2934.55,346.111,redis-1m-20260926
1048576,SET,640,Valkey,2929.1,358.399,valkey-1m-20260926
1048576,SET,1280,Lavik,797.8,9895.935,lavik-final1m-20260926
1048576,SET,1280,Lavik before cleaner,362.15,17170.431,lavik-baseline1m-20260926
1048576,SET,1280,Redis,2943.74,856.063,redis-1m-20260926
1048576,SET,1280,Valkey,2941.28,811.007,valkey-1m-20260926
1048576,SET,2560,Lavik,782.65,15925.247,lavik-final1m-20260926
1048576,SET,2560,Lavik before cleaner,374.21,22020.095,lavik-baseline1m-20260926
1048576,SET,2560,Redis,2942.88,1859.583,redis-1m-20260926
1048576,SET,2560,Valkey,2935.78,1810.431,valkey-1m-20260926
