product,type,logical_bytes,field_bytes,entries_per_key,keys,operation,connections,qps,p50_ms,p99_ms,p999_ms,requests,elapsed_seconds,seconds,client_cpu_cores,rx_mib_s
lavik,hash,65536,1024,64,64,HGET,1280,688880.41,1.639,4.735,36.095,5527006,9.635535236997384,8,9.644,708.683173828125
redis,hash,65536,1024,64,64,HGET,1280,908043.29,1.167,4.639,11.263,7275804,9.587578335998842,8,12.842,934.145908203125
valkey,hash,65536,1024,64,64,HGET,1280,778394.31,1.543,4.191,11.839,6240026,9.586109014002432,8,10.627,800.77017578125
lavik,hash,65536,1024,64,64,HGET,2560,573079.6,3.311,19.455,102.399,4603804,9.93613737600026,8,8.893,589.553525390625
redis,hash,65536,1024,64,64,HGET,2560,955250.93,2.431,6.783,23.167,7667782,10.942657114999747,8,12.751,982.711142578125
valkey,hash,65536,1024,64,64,HGET,2560,756586.16,3.215,6.719,25.599,6073394,9.937349764000828,8,11.26,778.335322265625
lavik,hash,65536,1024,64,64,HGET,5120,528626.69,2.703,42.239,872.447,4269381,10.687658367998665,8,8.87,543.822666015625
redis,hash,65536,1024,64,64,HGET,5120,775018.51,5.919,19.967,64.255,6256323,10.641803249000077,8,12.848,797.29748046875
valkey,hash,65536,1024,64,64,HGET,5120,575083.77,8.511,32.127,73.727,4636671,10.588836988998082,8,9.406,591.6153125
lavik,hash,65536,1024,64,64,HGETALL,16,45033.0,0.303,1.815,2.015,360269,9.28230478200203,8,3.333,2882.2346484375
redis,hash,65536,1024,64,64,HGETALL,16,56244.85,0.279,0.503,0.615,449965,8.231715253001312,8,4.258,3599.823671875
valkey,hash,65536,1024,64,64,HGETALL,16,44970.89,0.335,1.119,1.871,359781,9.23060627599989,8,3.459,2878.259658203125
lavik,hash,65536,1024,64,64,HGETALL,80,44956.07,0.791,7.167,7.807,359825,9.282970271000522,8,4.25,2877.311103515625
redis,hash,65536,1024,64,64,HGETALL,80,68236.14,1.175,1.575,2.351,545940,9.284299409002415,8,5.638,4367.29845703125
valkey,hash,65536,1024,64,64,HGETALL,80,44859.81,1.375,5.087,5.439,358910,9.281626189000235,8,3.629,2871.1498046875
lavik,hash,65536,1024,64,64,HSET,80,6414.87,0.183,100.351,104.959,51709,9.281622862003132,8,0.098,6.623701171875
redis,hash,65536,1024,64,64,HSET,80,440109.67,0.175,0.343,0.439,3521865,9.28434039000058,8,6.554,454.44017578125
valkey,hash,65536,1024,64,64,HSET,80,504529.0,0.151,0.287,0.455,4037565,9.283830930002296,8,7.289,520.957099609375
lavik,hash,65536,1024,64,64,HSET,320,6636.06,1.415,395.263,405.503,54496,9.33081145899996,8,0.142,6.852138671875
redis,hash,65536,1024,64,64,HSET,320,714110.85,0.423,0.999,1.575,5719758,9.334899544002838,8,9.885,737.362958984375
valkey,hash,65536,1024,64,64,HSET,320,661991.86,0.455,1.031,2.207,5299744,9.385371325999586,8,8.64,683.54693359375
lavik,hash,65536,1024,64,64,HSET,1280,6830.75,86.527,1019.903,1073.151,57427,10.633258623001893,8,0.323,7.053134765625
redis,hash,65536,1024,64,64,HSET,1280,870782.07,1.231,4.671,10.431,6981254,9.588152937001723,8,12.867,899.13546875
valkey,hash,65536,1024,64,64,HSET,1280,707685.0,1.783,4.095,11.903,5671907,9.635885861000133,8,10.184,730.727822265625
lavik,hash,65536,1024,64,64,HSET,2560,6994.12,286.719,1548.287,1564.671,59632,10.983856435999769,8,0.569,7.221845703125
redis,hash,65536,1024,64,64,HSET,2560,854470.28,2.639,7.423,24.575,6878766,9.939715147000243,8,13.461,882.292666015625
valkey,hash,65536,1024,64,64,HSET,2560,695350.96,3.551,7.103,32.639,5579800,10.940403238000727,8,9.675,717.99234375
lavik,hash,65536,1024,64,64,HSET,5120,7417.49,643.071,2392.063,2490.367,65335,12.637168947003374,8,0.952,7.659013671875
redis,hash,65536,1024,64,64,HSET,5120,681444.17,7.199,25.343,67.071,5500019,10.641672173002007,8,12.117,703.632705078125
